Temperature,Humidity,WindSpeed,LightIntensity,FlowerDensity,PollenAvailability,Region,TimeOfDay,PollinatorActivity
30.48,48.64,4.61,656.97,56.97,26.71,Rural,Afternoon,Medium
27.31,48.2,6.47,690.2,55.67,25.12,Forest,Morning,High
31.24,28.07,5.01,719.29,31.27,20.69,Forest,Morning,High
35.62,50.05,8.55,984.06,61.59,24.97,Forest,Afternoon,High
26.83,65.99,13.99,475.83,20.2,29.91,Rural,Evening,Low
26.83,35.89,4.14,446.1,36.92,23.74,Forest,Morning,Medium
35.9,70.73,13.0,1070.99,10.02,29.2,Urban,Morning,High
31.84,62.32,4.09,561.21,81.17,16.63,Rural,Evening,Medium
25.65,43.99,3.76,321.09,45.37,18.96,Forest,Morning,Medium
30.71,52.88,12.09,554.46,93.34,17.66,Rural,Evening,Medium
25.68,78.97,12.61,600.98,66.06,19.35,Rural,Afternoon,Medium
25.67,66.0,12.26,1166.49,58.96,37.87,Urban,Afternoon,Medium
29.21,55.13,1.42,977.45,38.28,32.26,Urban,Evening,Medium
18.43,51.43,5.67,1044.26,29.07,14.23,Urban,Afternoon,Medium
19.38,56.15,12.11,945.99,60.46,29.37,Forest,Afternoon,Medium
25.19,47.32,8.21,983.87,48.57,21.09,Forest,Afternoon,Medium
22.94,23.43,2.63,493.58,23.21,18.18,Urban,Afternoon,Medium
29.57,85.63,10.29,640.42,19.66,10.14,Urban,Afternoon,Low
23.46,57.33,4.43,403.03,30.83,34.72,Forest,Afternoon,Medium
20.94,60.97,16.97,636.85,86.42,11.36,Urban,Morning,Medium
35.33,54.13,15.72,905.23,94.27,24.48,Rural,Morning,High
26.87,43.97,11.02,740.37,54.1,15.54,Rural,Morning,High
28.34,52.21,14.81,1093.44,52.98,32.76,Rural,Afternoon,High
20.88,31.01,8.32,357.58,43.27,21.66,Forest,Morning,Medium
25.28,89.16,11.83,850.07,31.31,23.66,Urban,Evening,Low
28.55,36.48,15.39,325.51,77.5,23.99,Rural,Evening,Low
22.25,39.52,9.23,728.25,87.47,28.03,Forest,Evening,Medium
29.88,48.4,6.72,922.1,32.13,25.13,Urban,Morning,High
25.0,74.32,0.0,635.65,48.34,24.57,Urban,Afternoon,Medium
26.54,55.22,7.58,865.34,41.0,19.82,Rural,Evening,Medium
24.99,36.46,12.12,412.08,41.6,9.25,Urban,Morning,Medium
37.26,73.82,12.73,200.89,73.72,13.81,Urban,Morning,Medium
27.93,65.97,10.52,867.11,23.76,32.18,Rural,Afternoon,Medium
22.71,63.08,5.29,1200.0,59.33,21.94,Rural,Afternoon,High
32.11,65.74,0.0,401.19,64.56,18.36,Urban,Morning,Medium
21.9,90.0,5.52,1066.66,47.16,10.94,Forest,Afternoon,High
29.04,87.78,6.48,713.03,67.86,7.8,Forest,Afternoon,Medium
18.2,44.7,6.44,299.29,52.95,17.97,Rural,Afternoon,Medium
21.36,79.36,11.09,360.55,74.34,33.88,Urban,Afternoon,Medium
28.98,60.75,17.93,704.74,19.56,19.43,Rural,Afternoon,Medium
31.69,62.49,8.62,578.66,43.02,29.0,Forest,Morning,High
28.86,29.62,6.92,306.13,48.56,18.97,Forest,Evening,Medium
27.42,52.44,6.7,191.79,10.0,31.39,Urban,Morning,Medium
26.49,42.81,8.62,445.98,28.28,21.48,Rural,Morning,Medium
20.61,67.42,3.86,758.14,33.73,12.68,Rural,Morning,Medium
24.4,71.07,8.6,698.08,68.96,22.31,Forest,Morning,Medium
25.7,23.88,10.25,549.63,35.86,43.34,Rural,Morning,Medium
33.29,54.67,9.05,760.57,33.64,42.9,Rural,Afternoon,High
29.72,71.83,10.29,1012.01,66.35,29.87,Rural,Evening,Medium
19.18,52.2,10.17,818.24,17.64,23.63,Urban,Afternoon,Medium
29.62,65.94,0.0,663.61,10.0,28.04,Forest,Evening,Medium
26.07,60.27,11.18,978.42,42.77,28.17,Rural,Morning,Medium
24.62,60.12,4.64,412.04,21.05,24.6,Urban,Morning,Medium
31.06,50.93,2.52,632.52,21.81,29.41,Rural,Morning,Medium
33.15,36.75,2.48,639.67,61.47,27.08,Rural,Morning,High
32.66,38.18,10.17,328.91,67.52,21.84,Forest,Morning,High
23.8,65.64,6.89,574.04,65.78,13.05,Urban,Morning,Medium
26.45,55.29,0.0,100.0,72.18,20.4,Rural,Morning,Medium
29.66,52.92,10.39,1200.0,74.82,33.0,Forest,Evening,High
32.88,48.64,0.8,418.78,10.0,24.69,Urban,Morning,High
25.6,50.42,8.7,1175.83,59.01,28.0,Rural,Morning,Medium
27.07,70.7,9.19,711.43,39.41,22.17,Forest,Morning,Medium
22.47,49.97,12.43,869.46,35.05,14.4,Rural,Evening,Low
22.02,34.88,16.91,553.36,61.21,22.61,Rural,Evening,Low
32.06,66.15,1.18,762.38,15.39,14.78,Urban,Morning,High
34.78,51.93,7.74,895.15,14.98,14.14,Forest,Afternoon,Medium
27.64,55.47,6.62,899.37,62.67,37.06,Urban,Evening,Medium
33.02,79.11,10.17,932.43,59.76,20.8,Rural,Morning,High
29.81,54.69,9.08,589.5,52.73,17.59,Forest,Evening,Medium
24.77,59.34,6.24,555.89,32.4,41.18,Rural,Afternoon,Medium
29.81,37.32,5.8,221.75,64.88,33.15,Rural,Morning,Medium
35.69,51.7,2.42,856.97,63.61,21.28,Rural,Evening,Medium
27.82,64.14,12.94,1024.71,51.71,29.28,Forest,Afternoon,High
35.82,31.67,10.3,1184.79,26.45,22.64,Rural,Evening,High
14.9,58.01,12.59,791.55,41.5,18.07,Forest,Evening,Low
32.11,56.51,6.45,470.06,66.76,29.75,Rural,Morning,High
28.44,55.62,4.72,190.87,76.54,21.76,Urban,Morning,Medium
26.5,70.56,2.61,1012.5,43.47,25.75,Forest,Evening,Medium
28.46,60.02,9.79,161.12,45.01,35.21,Rural,Afternoon,Medium
18.06,77.17,2.8,597.82,46.77,34.11,Urban,Morning,Medium
26.9,40.1,17.24,632.71,55.5,19.5,Forest,Evening,Low
29.79,57.04,1.46,679.16,38.38,29.86,Urban,Evening,Medium
35.39,56.27,9.37,710.74,10.0,13.72,Rural,Morning,Medium
25.41,38.96,15.83,741.44,73.86,29.5,Urban,Morning,Medium
23.96,69.34,11.0,100.0,85.89,26.48,Rural,Evening,Low
25.49,89.87,8.88,704.4,37.75,28.79,Rural,Morning,Medium
32.58,54.74,3.16,100.0,28.67,22.03,Forest,Evening,Medium
29.64,62.58,1.09,919.67,47.26,45.84,Rural,Afternoon,High
25.35,56.27,11.85,533.46,46.25,15.99,Rural,Morning,Medium
30.57,44.3,15.53,100.0,69.91,34.72,Forest,Morning,Medium
28.49,27.69,5.81,455.74,51.09,14.68,Forest,Evening,Medium
32.84,44.41,2.3,528.98,34.15,30.04,Rural,Morning,High
24.49,34.12,0.0,1057.21,23.63,30.76,Rural,Afternoon,High
26.36,80.56,3.1,758.99,67.31,25.55,Forest,Evening,Medium
26.04,53.27,7.43,803.33,61.99,20.05,Forest,Afternoon,High
20.68,49.81,16.0,1054.37,71.21,26.41,Urban,Afternoon,Medium
29.48,68.34,11.37,671.16,30.64,27.67,Urban,Afternoon,Low
29.31,38.17,9.53,926.26,86.77,42.9,Urban,Afternoon,High
28.03,43.5,6.0,905.16,15.13,16.28,Forest,Evening,Medium
26.83,56.02,5.08,314.06,64.19,19.44,Forest,Morning,Medium
20.92,70.43,15.03,1141.9,11.81,27.85,Forest,Afternoon,Medium
25.9,62.53,9.0,273.91,34.19,22.44,Urban,Afternoon,Medium
26.29,58.72,0.0,975.21,81.22,24.0,Rural,Evening,Medium
23.99,56.17,4.63,244.88,66.63,35.7,Rural,Afternoon,Medium
27.19,61.0,3.71,880.37,39.08,0.0,Rural,Afternoon,Medium
30.02,58.02,5.27,1200.0,39.62,19.02,Forest,Afternoon,High
37.43,39.55,10.81,636.11,52.01,7.58,Rural,Afternoon,Medium
28.87,55.69,7.46,623.09,60.28,13.04,Rural,Morning,Medium
29.29,38.89,7.62,883.13,75.03,49.05,Forest,Afternoon,High
27.63,56.22,14.57,601.18,40.88,30.98,Forest,Evening,Low
18.41,47.79,4.52,1200.0,17.76,34.52,Forest,Morning,Medium
27.87,90.0,17.32,757.66,53.14,24.19,Forest,Evening,Medium
28.3,54.4,4.64,603.95,40.85,32.59,Forest,Morning,High
40.0,33.94,8.45,537.91,23.99,7.33,Urban,Morning,High
27.04,52.99,6.59,420.12,55.95,35.38,Forest,Afternoon,Medium
29.51,62.79,8.62,511.67,45.74,16.8,Rural,Afternoon,Medium
27.83,80.1,10.22,594.8,56.13,19.69,Rural,Evening,Medium
22.16,46.16,10.17,553.71,32.11,30.05,Urban,Morning,Medium
33.71,31.26,4.23,502.55,59.73,28.16,Forest,Morning,High
31.76,67.25,2.39,1200.0,23.66,25.85,Rural,Afternoon,High
31.96,34.29,20.52,390.97,33.45,11.37,Rural,Morning,Medium
23.45,48.46,5.58,743.99,45.14,26.0,Forest,Afternoon,Medium
35.01,51.14,11.5,877.76,84.84,34.61,Urban,Afternoon,High
20.99,53.96,0.0,889.03,65.7,19.68,Forest,Evening,Medium
30.93,65.34,6.6,682.42,71.54,38.15,Forest,Afternoon,High
38.95,44.75,7.36,627.79,78.34,16.27,Forest,Afternoon,High
23.05,50.89,10.36,835.46,100.0,25.07,Forest,Morning,High
25.17,54.79,0.0,779.96,50.83,40.35,Forest,Evening,Medium
28.5,57.24,8.83,622.31,78.41,18.19,Urban,Evening,Medium
25.48,56.47,2.25,231.44,70.25,35.54,Rural,Evening,Low
20.25,61.54,9.62,559.62,69.92,44.75,Forest,Afternoon,Medium
28.34,67.66,2.82,356.03,85.48,26.71,Rural,Evening,Medium
22.69,60.89,3.72,499.85,41.61,19.73,Rural,Afternoon,Medium
30.37,61.8,6.63,709.97,40.03,17.27,Forest,Afternoon,Medium
23.4,31.27,2.74,807.62,56.4,38.05,Rural,Afternoon,High
35.75,55.75,5.62,1200.0,46.35,37.77,Forest,Afternoon,High
24.08,62.19,2.03,538.78,56.37,39.49,Forest,Evening,Medium
26.39,65.93,0.0,932.39,81.25,24.67,Forest,Evening,Medium
32.07,44.61,13.09,791.79,40.44,35.38,Urban,Morning,High
21.85,45.11,1.52,1088.8,43.91,24.51,Forest,Evening,Medium
29.14,46.39,7.11,872.87,53.49,16.17,Forest,Morning,High
34.54,63.05,11.76,397.46,45.43,36.24,Rural,Evening,Medium
19.96,70.51,4.93,183.09,11.72,41.34,Urban,Evening,Low
28.92,48.89,3.87,793.38,38.4,14.79,Rural,Evening,Medium
29.3,68.62,9.13,541.46,63.75,14.61,Rural,Afternoon,Medium
31.91,56.85,13.59,405.91,78.75,25.4,Forest,Evening,Medium
21.82,53.14,2.15,319.73,26.91,34.56,Urban,Evening,Low
21.4,51.83,7.25,748.29,26.81,13.66,Urban,Morning,Medium
30.61,66.2,0.0,1152.31,50.6,27.27,Forest,Evening,High
29.48,59.88,6.03,577.4,10.0,19.1,Urban,Afternoon,Low
29.25,89.14,8.17,877.08,41.1,32.01,Forest,Evening,Medium
29.73,42.22,3.73,669.32,15.28,17.02,Urban,Morning,Medium
24.6,62.77,5.72,313.19,77.38,32.72,Urban,Evening,Low
29.16,47.06,0.96,920.44,34.61,23.42,Forest,Evening,Medium
29.47,41.96,8.39,371.59,83.06,15.63,Urban,Morning,Medium
24.43,54.84,13.28,706.49,72.27,25.64,Urban,Evening,Low
37.33,57.06,2.51,597.54,37.07,5.62,Urban,Morning,High
30.37,90.0,4.89,967.92,28.56,19.41,Rural,Morning,Medium
22.04,52.24,10.51,382.55,46.13,28.37,Forest,Afternoon,Medium
31.28,38.05,14.06,817.26,47.91,7.28,Rural,Afternoon,High
23.13,59.1,0.53,448.06,56.92,0.0,Urban,Morning,Medium
31.94,23.88,7.16,546.67,34.47,1.61,Urban,Afternoon,Medium
33.79,53.62,9.42,100.0,64.93,38.27,Rural,Afternoon,Medium
23.9,55.24,7.49,1200.0,55.31,24.23,Urban,Morning,High
32.82,66.92,0.0,865.17,43.19,19.68,Urban,Evening,Medium
30.06,69.6,10.51,469.8,35.76,34.45,Forest,Evening,Medium
32.11,47.45,15.6,362.6,46.3,20.96,Urban,Evening,Low
37.48,52.74,8.58,551.31,33.66,27.68,Forest,Afternoon,Medium
26.77,43.51,2.84,915.06,51.17,25.26,Forest,Afternoon,High
24.23,38.08,5.43,132.37,51.71,20.29,Rural,Evening,Low
23.55,59.65,16.85,657.52,55.23,27.94,Rural,Morning,Medium
23.92,35.9,12.55,1200.0,85.32,32.73,Urban,Morning,High
27.61,48.78,11.2,359.82,47.35,23.15,Rural,Morning,Medium
29.71,40.07,9.78,724.12,70.09,20.39,Forest,Afternoon,High
29.38,63.25,4.69,1200.0,54.59,21.57,Rural,Evening,Medium
32.14,82.02,7.0,889.65,45.24,2.02,Forest,Morning,High
28.07,35.48,7.61,737.78,47.62,27.83,Rural,Evening,Medium
35.27,27.2,10.75,851.99,48.82,12.91,Urban,Evening,Medium
26.68,53.13,15.54,579.74,55.6,31.3,Rural,Afternoon,Medium
